Date,Title,Quantity Sold,Total Revenue
2026-01-01 00:00:00,The Great Gatsby,5,64.95
2026-01-02 00:00:00,1984,3,46.5
2026-01-03 00:00:00,To Kill a Mockingbird,2,29.98
2026-01-04 00:00:00,Clean Code,1,39.99
2026-01-05 00:00:00,Python Crash Course,4,119.96
2026-01-06 00:00:00,Pride and Prejudice,6,59.94
2026-01-07 00:00:00,The Catcher in the Rye,3,34.5
2026-01-08 00:00:00,Sapiens,2,37.5
2026-01-09 00:00:00,Atomic Habits,5,84.95
2026-01-10 00:00:00,Dune,1,19.99
2026-01-11 00:00:00,The Hobbit,4,58.0
2026-01-12 00:00:00,Thinking Fast and Slow,2,45.98
2026-01-13 00:00:00,Eloquent JavaScript,1,31.99
2026-01-14 00:00:00,Head First Design Patterns,1,44.99
2026-01-15 00:00:00,The Alchemist,3,39.75
2026-01-16 00:00:00,Man's Search for Meaning,2,29.5
2026-01-17 00:00:00,Rich Dad Poor Dad,4,71.96
2026-01-18 00:00:00,The Subtle Art of Not Giving a F*ck,5,79.95
2026-01-19 00:00:00,Brave New World,2,32.5
2026-01-20 00:00:00,The Road,1,13.99
2026-01-21 00:00:00,Ender's Game,3,38.25
2026-01-22 00:00:00,The Name of the Wind,1,20.99
2026-01-23 00:00:00,Good Omens,4,59.96
2026-01-24 00:00:00,Educated,2,35.0
2026-01-25 00:00:00,The Power of Habit,3,50.25
2026-01-26 00:00:00,JavaScript: The Good Parts,1,28.99
2026-01-27 00:00:00,Refactoring,1,42.5
2026-01-28 00:00:00,The Lean Startup,2,43.98
2026-01-29 00:00:00,Quiet,2,30.5
2026-01-30 00:00:00,The Four Agreements,5,64.95
2026-01-31 00:00:00,Born a Crime,3,50.97
2026-02-01 00:00:00,Tools of Titans,1,29.99
2026-02-02 00:00:00,The Intelligent Investor,1,34.99
2026-02-03 00:00:00,Designing Data-Intensive Applications,1,49.99
2026-02-04 00:00:00,Domain-Driven Design,1,47.5
2026-02-05 00:00:00,The Pragmatic Programmer,2,77.98
